pid,fig,png,mode,ink,kind,cut_id,axis,depth,gap,gap_px,half_a,half_b,box,selected_x,run_len,longest,tie,reason,candidates,n_free,n_clipped,selected_run,search_to,need_overlap,orphan,w,h,outcome,n_candidates,nearest,relation,n_opposite,n_nested,opposite,nested,lineage,panel,cut_axis,side,accepted,c_data_no_axis,c_rows,c_caption,c_baseline,c_coords,c_regular,why_data_no_axis,why_rows,why_caption,why_baseline,why_coords,why_regular,reach,grown,score,n_rows,rule,measured,threshold,detail,axis_status,axis_from,spine_x,baseline_y,status,n_labels,n_bars,fragment,source
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"102,574,445,628",181,152,152,0.95,leftmost column whose run is >= 0.95 of the longest (152 px),181:152px;367:64px;366:64px;468:63px;467:63px;299:60px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_CANDIDATES,,,,,,,,"619,1083,441,641",715,,,,leftmost of 11 free runs,715:522-607:free;716:522-607:free;748:494-594:free;749:494-594:free;781:479-591:free;782:479-591:free;814:508-601:free;815:508-601:free;846:511-604:free;847:511-604:free;880:498-600:free,11,0,522-607,897,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"619,1083,441,641",1077,147,147,0.95,leftmost column whose run is >= 0.95 of the longest (147 px),1078:147px;1077:147px;913:123px;912:123px;1045:120px;1044:120px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_CANDIDATES,,,,,,,,"102,568,139,260",190,,,,leftmost of 6 free runs,190:206-251:free;191:206-251:free;321:147-222:free;322:147-222:free;354:182-227:free;355:182-227:free,6,0,206-251,381,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"102,568,139,260",321,75,75,0.95,leftmost column whose run is >= 0.95 of the longest (75 px),322:75px;321:75px;421:67px;420:67px;519:49px;518:49px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_CANDIDATES,,,,,,,,"105,574,1098,1339",176,,,,leftmost of 13 free runs,176:1128-1333:free;177:1128-1332:free;193:1205-1304:free;194:1205-1304:free;227:1195-1306:free;228:1195-1306:free;262:1204-1310:free;296:1205-1322:free;297:1205-1322:free;330:1207-1316:free;331:1207-1316:free;364:1178-1302:free;365:1178-1302:free,13,0,1128-1333,386,72.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"105,574,1098,1339",176,205,205,0.95,leftmost column whose run is >= 0.95 of the longest (205 px),176:205px;177:204px;365:124px;364:124px;570:117px;569:117px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_CANDIDATES,,,,,,,,"624,1083,174,292",707,,,,leftmost of 4 free runs,707:236-279:free;708:236-279:free;875:200-277:free;876:200-277:free;741:240-292:clipped;742:240-292:clipped;841:174-272:clipped;842:174-272:clipped,4,4,236-279,899,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"624,1083,174,292",841,98,98,0.95,leftmost column whose run is >= 0.95 of the longest (98 px),842:98px;841:98px;876:77px;875:77px;1009:72px;1008:72px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_CANDIDATES,,,,,,,,"619,1083,821,990",728,,,,leftmost of 3 free runs,728:918-972:free;890:870-930:free;891:870-930:free,3,0,918-972,897,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"619,1083,821,990",923,109,109,0.95,leftmost column whose run is >= 0.95 of the longest (109 px),924:109px;923:109px;1054:97px;1053:97px;956:96px;1021:69px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_CANDIDATES,,,,,,,,"627,1083,1107,1342",698,,,,leftmost of 6 free runs,698:1132-1336:free;699:1133-1335:free;784:1252-1323:free;785:1252-1323:free;852:1230-1310:free;853:1230-1310:free,6,0,1132-1336,900,70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"627,1083,1107,1342",698,204,204,0.95,leftmost column whose run is >= 0.95 of the longest (204 px),698:204px;699:202px;922:107px;921:107px;957:95px;956:94px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,ORPHAN,,,,,,,,,,,,,,,,,,,,"352,400,30,46",48,16,NO_PANEL_IN_REACH,0,left 219px share 0.00 reach 220 [share] | overlap 0px share 0.00 reach 34 [share],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,PIECE_RELATION,,,,,,,,,,,,,,,,,,,,"352,400,30,46",,,,,,OPPOSITE_HALF_UNIQUE_PANEL,1,0,"102,568,139,260",,CONTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"102,568,139,260",321,75,75,0.95,leftmost column whose run is >= 0.95 of the longest (75 px),322:75px;321:75px;421:67px;420:67px;519:49px;518:49px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"102,568,139,260",321,75,75,0.95,leftmost column whose run is >= 0.95 of the longest (75 px),322:75px;321:75px;421:67px;420:67px;519:49px;518:49px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,AXIS_FALLBACK,,,,,,,,"102,568,139,260",321,75,75,0.95,leftmost column whose run is >= 0.95 of the longest (75 px),322:75px;321:75px;421:67px;420:67px;519:49px;518:49px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Fig. 1,ID397__fig1.png,OFF,158,GATE_SHADOW,3,,,,30,,,,,,,,,,,,,,,"352,400,30,46",,,,,,,,,,,,"102,568,139,260",row,above,False,O,X,-,O,X,-,,,,,,,,,,,,,,,,,,,,,,,
